time,humidity,pressure
05/26 22:40,-,1006.8
05/26 22:50,-,1006.7
05/26 23:00,96,1006.7
05/26 23:10,-,1006.6
05/26 23:20,-,1006.5
05/26 23:30,-,1006.2
05/26 23:40,-,1006.1
05/26 23:50,-,1006.2
05/27 00:00,96,1006.0
05/27 00:10,-,1006.0
05/27 00:20,-,1005.8
05/27 00:30,-,1005.7
05/27 00:40,-,1005.5
05/27 00:50,-,1005.4
05/27 01:00,96,1005.3
05/27 01:10,-,1005.2
05/27 01:20,-,-
05/27 01:30,-,1005.0
05/27 01:40,-,1005.0
05/27 01:50,-,1004.9
05/27 02:00,96,1004.9
05/27 02:10,-,1004.9
05/27 02:20,-,1004.8
05/27 02:30,97,1004.8
05/27 02:40,-,1004.8
05/27 02:50,-,1004.7
05/27 03:00,97,1004.8
05/27 03:10,-,1004.7
05/27 03:20,-,1004.7
05/27 03:30,-,1004.7
05/27 03:40,-,1004.9
05/27 03:50,-,1005.0
05/27 04:00,98,1004.7
05/27 04:10,-,1004.8
05/27 04:20,-,1004.9
05/27 04:30,-,1005.2
05/27 04:40,-,1005.2
05/27 04:50,-,1005.2
05/27 05:00,98,1005.2
05/27 05:10,-,1005.2
05/27 05:20,-,1005.2
05/27 05:30,-,1005.2
05/27 05:40,-,1005.2
05/27 05:50,-,1005.2
05/27 06:00,98,1005.2
05/27 06:10,-,1005.3
05/27 06:20,-,1005.5
05/27 06:30,-,1005.7
05/27 06:40,-,1005.7
05/27 06:50,-,1005.9
05/27 07:00,98,1005.9
05/27 07:10,-,1005.9
05/27 07:20,-,1006.0
05/27 07:30,-,1006.2
05/27 07:40,-,1006.3
05/27 07:50,-,1006.2
05/27 08:00,98,1006.3
05/27 08:10,-,1006.4
05/27 08:20,-,1006.4
05/27 08:30,-,1006.5
05/27 08:40,-,1006.5
05/27 08:50,-,1006.7
05/27 09:00,98,1007.0
05/27 09:10,-,1007.0
05/27 09:20,-,1007.0
05/27 09:30,-,1007.1
05/27 09:40,-,1007.1
05/27 09:50,-,1007.1
05/27 10:00,97,1007.1
05/27 10:10,97,1007.3
05/27 10:20,97,1007.3
05/27 10:30,97,1007.1
05/27 10:40,-,1007.2
05/27 10:50,-,1007.2
05/27 11:00,96,1007.1
05/27 11:10,-,1007.0
05/27 11:20,-,1007.0
05/27 11:30,-,1007.0
05/27 11:40,-,1007.0
05/27 11:50,-,1007.2
05/27 12:00,95,1007.0
05/27 12:10,-,1007.0
05/27 12:20,-,1007.0
05/27 12:30,-,1007.0
05/27 12:40,-,1007.0
05/27 12:50,-,1006.9
05/27 13:00,95,1006.9
05/27 13:10,-,1006.7
05/27 13:20,-,1006.5
05/27 13:30,-,1006.3
05/27 13:40,-,1006.2
05/27 13:50,-,1006.1
05/27 14:00,93,1006.0
05/27 14:10,-,1005.9
05/27 14:20,-,1005.8
05/27 14:30,-,1005.7
05/27 14:40,-,1005.6
05/27 14:50,-,1005.6
05/27 15:00,90,1005.7
05/27 15:10,-,1005.7
05/27 15:20,-,1005.7
05/27 15:30,-,1005.7
05/27 15:40,-,1005.6
05/27 15:50,-,1005.6
05/27 16:00,89,1005.6
05/27 16:10,-,1005.6
05/27 16:20,-,1005.5
05/27 16:30,-,1005.5
05/27 16:40,-,1005.5
05/27 16:50,-,1005.4
05/27 17:00,90,1005.4
05/27 17:10,-,1005.5
05/27 17:20,-,1005.6
05/27 17:30,-,1005.7
05/27 17:40,-,1005.8
05/27 17:50,-,1005.9
05/27 18:00,94,1006.0
05/27 18:10,-,1006.0
05/27 18:20,-,1006.1
05/27 18:30,-,1006.3
05/27 18:40,-,1006.5
05/27 18:50,-,1006.6
05/27 19:00,96,1006.7
05/27 19:10,-,1006.8
05/27 19:20,-,1006.9
05/27 19:30,-,1006.9
05/27 19:40,-,1007.0
05/27 19:50,-,1007.0
05/27 20:00,95,1007.1
05/27 20:10,-,1007.1
05/27 20:20,-,1007.1
05/27 20:30,-,1007.2
05/27 20:40,-,1007.3
05/27 20:50,-,1007.4
05/27 21:00,95,1007.3
05/27 21:10,-,1007.5
05/27 21:20,-,1007.7
05/27 21:30,-,1007.8
05/27 21:40,-,1008.1
05/27 21:50,-,1007.9
05/27 22:00,97,1007.9
05/27 22:10,-,1008.1
05/27 22:20,-,1008.3
05/27 22:30,-,1008.1
05/27 22:40,-,1008.1
05/27 22:50,-,1008.1
05/27 23:00,98,1008.0
05/27 23:10,-,1008.0
05/27 23:20,-,1008.0
05/27 23:30,-,1008.0
