6	1011.3
7	1011.2
9	1011.3
10	1011.4
14	1011.5
8	1011.6
9	1011.6
11	1011.6
13	1011.4
8	1011.3
6	1011.1
6	1011
10	1010.8
12	1010.7
5	1010.5
8	1010.3
6	1010.3
2	1010.2
11	1010.1
10	1010.1
8	1010
9	1009.8
12	1009.8
5	1009.7
11	1009.7
4	1009.8
5	1009.8
7	1009.8
5	1009.8
4	1009.7
10	1009.7
15	1009.9
13	1009.9
7	1010
8	1010
7	1010
2	1010
8	1010
12	1010
9	1009.9
4	1009.9
8	1009.8
5	1009.8
10	1009.8
10	1009.9
6	1010.1
8	1010.2
6	1010.4
7	1010.5
8	1010.5
6	1010.7
5	1010.7
5	1010.7
7	1010.8
7	1010.6
16	1010.6
10	1010.6
9	1010.8
8	1011
8	1011
9	1011.2
10	1011.3
8	1011.6
9	1012.3
6	1012.4
4	1012.3
10	1012.5
5	1012.6
7	1012.7
10	1012.4
11	1012.2
7	1011.6
9	1011.4
7	1011.4
10	1011.4
9	1011.2
7	1011.1
9	1011.1
10	1010.9
11	1011
3	1010.8
6	1010.7
9	1010.6
5	1010.4
13	1010.2
7	1010
8	1010
9	1009.8
7	1009.7
9	1009.7
11	1009.6
3	1009.4
9	1009.2
8	1009.1
4	1009
8	1008.8
8	1008.8
15	1008.5
8	1008.3
4	1008.3
6	1008.4
8	1008.5
6	1008.6
5	1008.6
10	1008.7
8	1008.7
6	1008.7
5	1008.9
10	1008.9
8	1008.9
7	1009
6	1008.9
6	1008.9
7	1008.8
5	1009
10	1009.1
7	1009.1
7	1009.2
5	1009.1
8	1009.2
4	1009.1
7	1009.2
3	1009.5
4	1009.5
6	1009.7
6	1009.8
10	1009.9
8	1009.9
6	1010
7	1009.9
10	1010
7	1010
9	1009.8
7	1009.8
9	1009.9
