distance,counts,time,distance,counts,time
3,19,10,3,70,50
4,14,10,4,141,150
5,8,10,5,1917,2570
6,5,10,6,6,10
8,6,20,8,24,60
10,4,20,10,22,60
20,3,20,20,16,40
30,1,20,30,5,20
